"officialFeatureId";"id";"lavNumber";"name";"type";"result";"score";"distanceM";"nameScore";"groupSize";"winnerMargin";"tier";"reason"
"StandingWater_DESTGEOTR100ghpl";"6-110-06-sportplatzteich-gerlebogk";"6-110-06";"Sportplatzteich Gerlebogk";"Teich";"review";"0.000";"280.4";"0.000";"2";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 2 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOTR100ghpl";"6-110-07-villa-teich-gerlebogk";"6-110-07";"Villa-Teich Gerlebogk";"Teich";"review";"0.000";"280.4";"0.000";"2";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 2 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOT00002wc7";"6-110-11-mariensee-preulitz";"6-110-11";"Mariensee Preußlitz";"See";"review";"0.609";"38.7";"0.000";"5";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 5 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOT00002wc7";"6-113-02-groer-teich-hinter-der-fahrt-in-preulitz-a-h-k-ro-s-0-30";"6-113-02";"Großer Teich hinter der Fahrt in Preußlitz A, H, K, Ro, S 0,30";"Teich";"review";"0.609";"38.7";"0.000";"5";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 5 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOT00002wc7";"6-113-03-tonloch-preulitz";"6-113-03";"Tonloch Preußlitz";"See";"review";"0.609";"38.7";"0.000";"5";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 5 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOT00002wc7";"6-110-10-tonloch-hanse-leau";"6-110-10";"Tonloch Hanse, Leau";"See";"review";"0.110";"211.7";"0.000";"5";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 5 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOT00002wc7";"6-110-21-tonloch-huhn-leau";"6-110-21";"Tonloch Huhn Leau";"See";"review";"0.110";"211.7";"0.000";"5";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 5 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"Watercourse_DESTGEOT00002aq8_lin";"6-110-12-saalealtarm-zwischen-plotzkau";"6-110-12";"Saalealtarm zwischen Plötzkau";"Fließgewässer";"review";"0.630";"31.1";"0.000";"2";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 2 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"Watercourse_DESTGEOT00002aq8_lin";"6-112-03-saalealtarm-lesewitz-bei-plotzkau";"6-112-03";"Saalealtarm Lesewitz bei Plötzkau";"Fließgewässer";"review";"0.630";"31.1";"0.000";"2";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 2 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"Watercourse_DESTGEOT00005hGj_lin";"6-110-14-saale-von-kreisgrenze-saalekreis-bis";"6-110-14";"Saale von Kreisgrenze Saalekreis bis";"Fließgewässer";"review";"0.692";"9.8";"0.000";"6";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 6 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
