"officialFeatureId";"id";"lavNumber";"name";"type";"result";"tier";"distanceM";"nameScore";"candidateCount";"gapM";"featureUseCount";"groupMargin";"reason"
"StandingWater_DESTGEOT00000ryi";"10-290-05-gr-und-kl-muhlteich-schkopau";"10-290-05";"Gr. und Kl. Mühlteich Schkopau";"Teich";"review";"v112-review";"18.8";"0.250";"4";"39.5";"1";"1.000";"Kandidat bleibt nach Distanz-/Gap-/Namensprüfung im Review."
"StandingWater_DESTGEOT00004vk2";"10-290-08-dorfteich-zollschen";"10-290-08";"Dorfteich Zöllschen";"Teich";"review";"v112-review";"163.6";"0.000";"4";"22.7";"1";"1.000";"Kandidat bleibt nach Distanz-/Gap-/Namensprüfung im Review."
"StandingWater_DESTGEOT00002Qq7";"10-290-29-grokaynaer-see-sudteil-nsg";"10-290-29";"Großkaynaer See – Südteil NSG!";"See";"review";"v112-review";"763.0";"0.000";"2";"282.9";"1";"1.000";"Kandidat bleibt nach Distanz-/Gap-/Namensprüfung im Review."
"StandingWater_DESTGEOT00004vjL";"10-290-36-dorfteich-oebles-schlechtewitz";"10-290-36";"Dorfteich Oebles-Schlechtewitz";"Teich";"review";"v112-review";"67.8";"0.000";"3";"66.1";"1";"1.000";"Kandidat bleibt nach Distanz-/Gap-/Namensprüfung im Review."
"StandingWater_DESTGEOT0000dEyT";"10-290-38-teich-1-schladebach";"10-290-38";"Teich 1 Schladebach";"Teich";"review";"v112-review";"330.3";"0.000";"11";"247.8";"1";"1.000";"Kandidat bleibt nach Distanz-/Gap-/Namensprüfung im Review."
"StandingWater_DESTGEOT00004vjB";"10-290-49-dorfteich-krollwitz";"10-290-49";"Dorfteich Kröllwitz";"Teich";"review";"v112-review";"246.0";"0.000";"5";"276.6";"1";"1.000";"Kandidat bleibt nach Distanz-/Gap-/Namensprüfung im Review."
"StandingWater_DESTGEOT00002lNJ";"10-290-54-kiessee-wallendorf-sudl-gastrasse";"10-290-54";"Kiessee Wallendorf südl. Gastrasse";"Kiesgrube";"review";"v112-review";"621.8";"0.000";"4";"1.8";"1";"1.000";"Kandidat bleibt nach Distanz-/Gap-/Namensprüfung im Review."
"StandingWater_DESTGEOT00002sF5";"10-370-07-ihlau-bei-wettin";"10-370-07";"Ihlau bei Wettin";"See";"review";"v112-review";"260.5";"0.000";"3";"276.0";"1";"1.000";"Kandidat bleibt nach Distanz-/Gap-/Namensprüfung im Review."
"StandingWater_DESTGEOT00004Imb";"10-370-26-2-teiche-im-ot-hohen";"10-370-26";"2 Teiche im OT Hohen";"Teich";"review";"v112-review";"284.9";"0.000";"1";"9999.0";"1";"1.000";"Kandidat bleibt nach Distanz-/Gap-/Namensprüfung im Review."
"Watercourse_DESTGEOT00002sIW_lin";"10-370-27-saalealtarm-stollen-wettin";"10-370-27";"Saalealtarm Stollen Wettin";"Fließgewässer";"review";"v112-flow-review";"152.5";"0.000";"16";"204.4";"1";"1.000";"Fließgewässer erfüllt die strengen v11.2-Kriterien nicht."
"StandingWater_DESTGEOT00004Im6";"10-370-29-westenteiche-brachstedt";"10-370-29";"Westenteiche Brachstedt";"Teich";"review";"v112-review";"353.1";"0.000";"2";"45.2";"1";"1.000";"Kandidat bleibt nach Distanz-/Gap-/Namensprüfung im Review."
"StandingWater_DESTGEOT00002Qqb";"10-370-30-dorfteich-nauendorf";"10-370-30";"Dorfteich Nauendorf";"Teich";"review";"v112-review";"90.4";"0.474";"2";"554.3";"1";"1.000";"Kandidat bleibt nach Distanz-/Gap-/Namensprüfung im Review."
"StandingWater_DESTGEOT0000ezj8";"10-370-31-parkteiche-ostrau";"10-370-31";"Parkteiche Ostrau";"Teich";"review";"v112-review";"48.6";"0.000";"5";"48.7";"1";"1.000";"Kandidat bleibt nach Distanz-/Gap-/Namensprüfung im Review."
"StandingWater_DESTGEOT00004Imh";"10-370-38-dorfteich-schwerz";"10-370-38";"Dorfteich Schwerz";"Teich";"review";"v112-review";"86.5";"0.000";"1";"9999.0";"1";"1.000";"Kandidat bleibt nach Distanz-/Gap-/Namensprüfung im Review."
"StandingWater_DESTGEOT00004Img";"10-370-39-dorfteich-dammendorf";"10-370-39";"Dorfteich Dammendorf";"Teich";"review";"v112-review";"404.1";"0.000";"2";"454.1";"1";"1.000";"Kandidat bleibt nach Distanz-/Gap-/Namensprüfung im Review."
"StandingWater_DESTGEOT00004XsG";"10-370-40-teich-im-industriegebiet-sietzsch";"10-370-40";"Teich im Industriegebiet Sietzsch";"Teich";"review";"v112-review";"180.1";"0.000";"4";"245.7";"1";"1.000";"Kandidat bleibt nach Distanz-/Gap-/Namensprüfung im Review."
"StandingWater_DESTGEOT00002so4";"10-370-48-muller-s-loch-lieskau";"10-370-48";"Müller´s Loch Lieskau";"See";"matched";"v112-confirmed";"15.0";"0.000";"6";"203.1";"1";"1.000";"v11.2 bestätigt: amtliches Feature konfliktfrei bzw. klarer Gruppengewinner; Abstand 15.0 m, Score 0.765."
"StandingWater_DESTGEOT00002QqQ";"10-370-49-goethebruch-petersberg";"10-370-49";"Goethebruch Petersberg";"See";"review";"v112-review";"180.6";"0.500";"1";"9999.0";"1";"1.000";"Kandidat bleibt nach Distanz-/Gap-/Namensprüfung im Review."
"StandingWater_DESTGEOT00002QqT";"10-370-54-webersche-sandgrube-beidersee";"10-370-54";"Webersche Sandgrube Beidersee";"Kiesgrube";"review";"v112-review";"386.0";"0.000";"5";"417.7";"1";"1.000";"Kandidat bleibt nach Distanz-/Gap-/Namensprüfung im Review."
"StandingWater_DESTGEOT00002Qqm";"10-371-01-muhlteich-krosigk";"10-371-01";"Mühlteich Krosigk";"Teich";"review";"v112-review";"225.3";"0.000";"2";"80.1";"1";"1.000";"Kandidat bleibt nach Distanz-/Gap-/Namensprüfung im Review."
"StandingWater_DESTGEOT00004tcB";"11-240-05-klarteich-taucha";"11-240-05";"Klärteich Taucha";"Teich";"review";"v112-review";"326.1";"0.000";"1";"9999.0";"1";"1.000";"Kandidat bleibt nach Distanz-/Gap-/Namensprüfung im Review."
"Watercourse_DESTGEOT00000dVu_lin";"11-300-07-kl-saale-v-bad-kosen-b-almrich";"11-300-07";"Kl. Saale v. Bad Kösen b. Almrich";"Fließgewässer";"review";"v112-flow-review";"3.1";"0.000";"11";"184.8";"1";"1.000";"Fließgewässer erfüllt die strengen v11.2-Kriterien nicht."
"StandingWater_DESTGEOT00004tct";"11-440-03-teich-im-rieth-schkortleben";"11-440-03";"Teich im Rieth Schkortleben";"Teich";"review";"v112-review";"189.5";"0.000";"1";"9999.0";"1";"1.000";"Kandidat bleibt nach Distanz-/Gap-/Namensprüfung im Review."
"StandingWater_DESTGEOT00004r2H";"11-480-08-parkteich-hollsteitz";"11-480-08";"Parkteich Hollsteitz";"Teich";"review";"v112-review";"340.0";"0.000";"1";"9999.0";"1";"1.000";"Kandidat bleibt nach Distanz-/Gap-/Namensprüfung im Review."
"StandingWater_DESTGEOT00004qJw";"11-480-10-inselteich-thierbach";"11-480-10";"Inselteich Thierbach";"Teich";"review";"v112-review";"18.5";"0.000";"4";"778.6";"1";"1.000";"Kandidat bleibt nach Distanz-/Gap-/Namensprüfung im Review."
"StandingWater_DESTGEOT00004CMo";"11-480-12-alter-elsterarm-profen";"11-480-12";"Alter Elsterarm Profen";"See";"review";"v112-review";"22.3";"0.000";"2";"609.6";"1";"1.000";"Kandidat bleibt nach Distanz-/Gap-/Namensprüfung im Review."
"Watercourse_DESTGEOT00004ACt_lin";"11-480-14-elstermuhlgraben-elsteraue";"11-480-14";"Elstermühlgraben Elsteraue";"Fließgewässer";"review";"v112-flow-review";"202.4";"0.000";"15";"57.9";"1";"1.000";"Fließgewässer erfüllt die strengen v11.2-Kriterien nicht."
"StandingWater_DESTGEOT00005o6Q";"12-140-01-scholitzer-see-und-hintersee";"12-140-01";"Scholitzer See und Hintersee";"See";"review";"v112-review";"13.0";"0.500";"9";"96.2";"1";"1.000";"Kandidat bleibt nach Distanz-/Gap-/Namensprüfung im Review."
"StandingWater_DESTGEOT00005k9c";"12-183-02-kiessandtagebaurestloch-sollnitz-1";"12-183-02";"Kiessandtagebaurestloch Sollnitz 1";"Kiesgrube";"review";"v112-conflict-review";"183.2";"0.000";"10";"85.1";"2";"0.000";"Amtliches Feature wird von 2 v11-Kandidaten beansprucht; kein ausreichend klarer Gewinner."
"StandingWater_DESTGEOT00005k9c";"12-183-03-kiessandtagebaurestloch-sollnitz-2";"12-183-03";"Kiessandtagebaurestloch Sollnitz 2";"Kiesgrube";"review";"v112-conflict-review";"183.2";"0.000";"10";"85.1";"2";"0.000";"Amtliches Feature wird von 2 v11-Kandidaten beansprucht; kein ausreichend klarer Gewinner."
"StandingWater_DESTGEOTR100gxFT";"13-280-17-barleber-see-i";"13-280-17";"Barleber See I";"See";"review";"v112-conflict-review";"313.4";"1.000";"3";"0.0";"2";"0.133";"Amtliches Feature wird von 2 v11-Kandidaten beansprucht; kein ausreichend klarer Gewinner."
"StandingWater_DESTGEOTR100gxFT";"13-280-01-neustadter-see-i";"13-280-01";"Neustädter See I";"See";"review";"v112-conflict-review";"313.4";"0.333";"3";"0.0";"2";"0.133";"Amtliches Feature wird von 2 v11-Kandidaten beansprucht; kein ausreichend klarer Gewinner."
