"id";"lavNumber";"name";"type";"result";"tier";"officialFeatureId";"distanceM";"candidateCount";"nameScore";"gapM";"featureUseCount";"reason"
"9-150-13-hofteich-in-stedten";"9-150-13";"Hofteich in Stedten";"Teich";"review";"v102-standing-review";"StandingWater_DESTGEOT000025ED";"294.5";"3";"0";"136.1";"1";"Nähe allein reicht beim neu erzeugten Ortsanker nicht für automatische Freigabe."
"9-230-01-parkteich-in-wiederstedt";"9-230-01";"Parkteich in Wiederstedt";"Teich";"review";"v102-standing-review";"StandingWater_DESTGEOT00001U3h";"201.9";"2";"0";"113";"1";"Nähe allein reicht beim neu erzeugten Ortsanker nicht für automatische Freigabe."
"9-230-11-amtsteich-bei-vatterode";"9-230-11";"Amtsteich bei Vatterode";"Teich";"review";"v102-standing-review";"StandingWater_DESTGEOT00001QuN";"649.6";"1";"0";"9999";"1";"Nähe allein reicht beim neu erzeugten Ortsanker nicht für automatische Freigabe."
"9-351-01-unterer-hofteich-in-sittichenbach";"9-351-01";"Unterer Hofteich in Sittichenbach";"Teich";"review";"v102-duplicate-blocked";"StandingWater_DESTGEOT00001NM4";"47.1";"2";"0";"263";"2";"Dasselbe amtliche Feature wird von 2 neuen Reviews beansprucht; keine automatische Freigabe."
"9-352-01-oberer-hofteich-in-sittichenbach";"9-352-01";"Oberer Hofteich in Sittichenbach";"Teich";"review";"v102-duplicate-blocked";"StandingWater_DESTGEOT00001NM4";"47.1";"2";"0";"263";"2";"Dasselbe amtliche Feature wird von 2 neuen Reviews beansprucht; keine automatische Freigabe."
"9-390-11-neuvorwerksteich-bei-allstedt";"9-390-11";"Neuvorwerksteich bei Allstedt";"Teich";"review";"v102-standing-review";"StandingWater_DESTGEOT000001Hf";"492.7";"1";"0.448";"9999";"1";"Nähe allein reicht beim neu erzeugten Ortsanker nicht für automatische Freigabe."
"9-390-28-toter-helmearm-bei-bennungen";"9-390-28";"Toter Helmearm bei Bennungen";"See";"review";"v102-standing-review";"StandingWater_DESTGEOT00000WrF";"613.4";"2";"0";"56.8";"1";"Nähe allein reicht beim neu erzeugten Ortsanker nicht für automatische Freigabe."
"10-210-06-kiesgrube-rockendorf-bei-hohenweiden";"10-210-06";"Kiesgrube Rockendorf bei Hohenweiden";"Kiesgrube";"review";"v102-standing-review";"StandingWater_DESTGEOT0000hwu3";"121.9";"4";"0";"367.7";"1";"Nähe allein reicht beim neu erzeugten Ortsanker nicht für automatische Freigabe."
"10-210-07-kiesgrube-in-ropzig";"10-210-07";"Kiesgrube in Röpzig";"Kiesgrube";"review";"v102-standing-review";"StandingWater_DESTGEOT00000ryr";"118.4";"4";"0";"134.5";"1";"Nähe allein reicht beim neu erzeugten Ortsanker nicht für automatische Freigabe."
"10-290-09-groes-kohlenloch-bei-tollwitz";"10-290-09";"Großes Kohlenloch bei Tollwitz";"See";"review";"v102-standing-review";"StandingWater_DESTGEOT00004vjX";"223.3";"3";"0";"0";"1";"Nähe allein reicht beim neu erzeugten Ortsanker nicht für automatische Freigabe."
