"id";"lavNumber";"name";"type";"result";"locality";"distanceM";"officialName";"candidateCount";"nameScore";"gapM";"reason"
"6-110-13-saalealtarm-aderstedt";"6-110-13";"Saalealtarm Aderstedt";"Fließgewässer";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"6-110-15-groer-wiendorfer-teich";"6-110-15";"Großer Wiendorfer Teich";"Teich";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"6-110-18-fuhne-vom-viadukt-bei-kleinwirschleben-a-b-bl-h-k-pl-ro-4-00-bis-mundung-in-die-saale";"6-110-18";"Fuhne vom Viadukt bei Kleinwirschleben A, B, Bl, H, K, Pl, Ro 4,00 bis Mündung in die Saale";"Fließgewässer";"review";"Kleinwirschleben A";"160.7";"";"10";"0.000";"26.6";"Neuer Ortsanker 'Kleinwirschleben A' gefunden; amtlicher Kandidat vorhanden, aber nicht eindeutig genug."
"6-110-25-bebitzer-dorfteich";"6-110-25";"Bebitzer Dorfteich";"Teich";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"6-111-02-feldlache-in-der-aue-bei-nienburg";"6-111-02";"Feldlache in der Aue bei Nienburg";"See";"review";"Nienburg";"579.8";"";"5";"0.000";"52.3";"Neuer Ortsanker 'Nienburg' gefunden; amtlicher Kandidat vorhanden, aber nicht eindeutig genug."
"6-111-05-saalealtarm-nienburg";"6-111-05";"Saalealtarm Nienburg";"Fließgewässer";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"6-111-12-alter-schacht-pauline-neugatersleben-h-k-ro-s-4-00";"6-111-12";"Alter Schacht „Pauline“ Neugatersleben H, K, Ro, S 4,00";"See";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"6-112-01-dorfteich-brundel";"6-112-01";"Dorfteich Bründel";"Teich";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"6-230-01-schloteiche-freckleben";"6-230-01";"Schloßteiche Freckleben";"Teich";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"6-400-03-jagerschacht-bei-glothe-brumby";"6-400-03";"Jägerschacht bei Glöthe-Brumby";"See";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"6-400-07-erdkuten-grune-lungen-bei-calbe";"6-400-07";"Erdkuten (Grüne Lungen) bei Calbe";"See";"review";"Calbe";"627.5";"";"1";"0.000";"9999.0";"Neuer Ortsanker 'Calbe' gefunden; amtlicher Kandidat vorhanden, aber nicht eindeutig genug."
"6-400-08-damaschkeplan-2-teiche-bei-calbe";"6-400-08";"Damaschkeplan (2 Teiche) bei Calbe";"Teich";"review";"Calbe";"627.5";"";"1";"0.000";"9999.0";"Neuer Ortsanker 'Calbe' gefunden; amtlicher Kandidat vorhanden, aber nicht eindeutig genug."
"6-400-12-pfannenpfutze-bei-plotzky";"6-400-12";"Pfannenpfütze bei Plötzky";"See";"review";"Plötzky";"168.7";"";"4";"0.000";"30.7";"Neuer Ortsanker 'Plötzky' gefunden; amtlicher Kandidat vorhanden, aber nicht eindeutig genug."
"6-400-18-rothe-bei-schonebeck";"6-400-18";"Röthe bei Schönebeck";"See";"review";"Schönebeck";"110.8";"";"6";"0.000";"70.4";"Neuer Ortsanker 'Schönebeck' gefunden; amtlicher Kandidat vorhanden, aber nicht eindeutig genug."
"6-400-21-norderney-in-schwarz";"6-400-21";"Norderney in Schwarz";"See";"review";"Schwarz";"21.4";"";"5";"0.000";"218.8";"Neuer Ortsanker 'Schwarz' gefunden; amtlicher Kandidat vorhanden, aber nicht eindeutig genug."
