"id";"lavNumber";"name";"type";"result";"tier";"officialFeatureId";"officialDistanceM";"officialName";"officialCandidateCount";"nameScore";"distanceGapM";"featureUseCount";"reason"
"4-170-16-elbe-havel-kanal-von-km-360-bis-364-5-a-b-bl-h-k-71-92-brucke-b1-ortsausgang-genthin-und";"4-170-16";"Elbe-Havel-Kanal von km 360 bis 364, 5 A, B, Bl, H, K, 71,92 (Brücke B1 Ortsausgang Genthin) und";"Fließgewässer";"review";"v71-no-official-feature";"";"0.1";"";"10";"0.000";"53.3";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"4-170-17-2-teiche-im-parchener-park";"4-170-17";"2 Teiche im Parchener Park";"Teich";"review";"v71-no-official-feature";"";"229.1";"";"1";"0.000";"9999";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"4-171-04-kiesgrube-an-der-mts-in-parey";"4-171-04";"Kiesgrube an der MTS in Parey";"Kiesgrube";"review";"v71-no-official-feature";"";"";"";"0";"0.000";"";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"4-171-14-stromelbe-von-km-372-4";"4-171-14";"Stromelbe von km 372,4";"Fließgewässer";"review";"v71-no-official-feature";"";"103";"";"5";"0.000";"136.4";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"4-171-16-zerbener-altarm-am";"4-171-16";"Zerbener Altarm am";"See";"review";"v71-no-official-feature";"";"202.7";"";"1";"0.000";"9999";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"4-171-18-waldmuhlenlanke-bei-parey";"4-171-18";"Waldmühlenlanke bei Parey";"See";"review";"v71-no-official-feature";"";"";"";"0";"0.000";"";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"4-171-19-pappelloch-bei-parey";"4-171-19";"Pappelloch bei Parey";"See";"review";"v71-no-official-feature";"";"";"";"0";"0.000";"";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"4-171-20-wolfsloch-1-und-2-bei-parey";"4-171-20";"Wolfsloch 1 und 2 bei Parey";"See";"review";"v71-no-official-feature";"";"";"";"0";"0.000";"";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"4-171-21-erdegraben-bei-parey";"4-171-21";"Erdegraben bei Parey";"Fließgewässer";"review";"v71-no-official-feature";"";"418.1";"";"1";"0.000";"9999";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"4-171-22-hemslake-bei-parey";"4-171-22";"Hemslake bei Parey";"See";"review";"v71-no-official-feature";"";"";"";"0";"0.000";"";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"4-171-25-groes-wasserloch-parey-kuhn-s-loch";"4-171-25";"Großes Wasserloch Parey (Kühn´s Loch)";"See";"review";"v71-no-official-feature";"";"146.7";"Kühnes Loch";"3";"0.167";"48.3";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"4-171-27-herrensee-parey";"4-171-27";"Herrensee Parey";"See";"review";"v71-no-official-feature";"";"";"";"0";"0.000";"";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"4-172-01-elbe-havel-kanal-von-km-364-5";"4-172-01";"Elbe-Havel-Kanal von km 364,5";"Fließgewässer";"review";"v71-no-official-feature";"";"";"";"0";"0.000";"";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"4-173-02-elbe-havel-kanal-von-km-353-km-360";"4-173-02";"Elbe-Havel-Kanal von km 353 - km 360";"Fließgewässer";"review";"v71-no-official-feature";"";"98.5";"";"3";"0.000";"7.8";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"4-490-03-schloteich-und-2-nebenteiche-in";"4-490-03";"Schloßteich und 2 Nebenteiche in";"Teich";"review";"v71-no-official-feature";"";"699.8";"";"2";"0.000";"27.8";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"4-491-02-griebensee-bei-prodel";"4-491-02";"Griebensee bei Prödel";"See";"review";"v71-no-official-feature";"";"571.8";"";"1";"0.000";"9999";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"4-492-03-kleiner-teich-bei-dalchau";"4-492-03";"Kleiner Teich bei Dalchau";"Teich";"review";"v71-no-official-feature";"";"483";"";"2";"0.000";"58";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"4-492-04-teich-in-gobel";"4-492-04";"Teich in Göbel";"Teich";"review";"v71-no-official-feature";"";"46";"";"2";"0.000";"18.5";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"5-101-01-kiesgrube-zwischen-aschersleben";"5-101-01";"Kiesgrube zwischen Aschersleben";"Kiesgrube";"review";"v71-no-official-feature";"";"";"";"0";"0.000";"";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"5-190-01-krummer-teich-bei-dingelstedt";"5-190-01";"Krummer Teich bei Dingelstedt";"Teich";"review";"v71-no-official-feature";"";"417.9";"Schusterteich";"2";"0.000";"22.2";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"5-190-08-halberstadter-see-ii";"5-190-08";"Halberstädter See II";"See";"review";"v71-no-official-feature";"";"244.8";"";"1";"0.000";"9999";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"5-191-01-fischteich-osterwieck";"5-191-01";"Fischteich Osterwieck";"Teich";"review";"v71-no-official-feature";"";"40.4";"";"1";"0.000";"9999";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"5-191-03-turmteich-eilenstedt";"5-191-03";"Turmteich Eilenstedt";"Teich";"review";"v71-no-official-feature";"";"37.7";"";"1";"0.000";"9999";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"5-340-01-erichsburger-teich-bei-friedrichsbrunn";"5-340-01";"Erichsburger Teich bei Friedrichsbrunn";"Teich";"review";"v71-no-official-feature";"";"305.1";"";"1";"0.000";"9999";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
