"id";"lavNumber";"name";"type";"status";"latitude";"longitude";"osmConfidence";"officialDistanceM";"officialName";"officialFeatureId";"officialType";"officialCandidateCount";"nameScore";"distanceGapM";"reason"
"9-390-10-altarm-am-hornissenberg-bei-kelbra";"9-390-10";"Altarm am Hornissenberg bei Kelbra";"See";"review";"51.4390267";"11.0361459";"0.856";"";"";"";"";"0";"";"";"OSM-Kandidat vorhanden, aber im amtlichen Prüfbereich kein passendes HY-P-Objekt gefunden."
"9-390-11-neuvorwerksteich-bei-allstedt";"9-390-11";"Neuvorwerksteich bei Allstedt";"Teich";"unmatched";"";"";"";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"9-390-12-teich-karlsrode";"9-390-12";"Teich Karlsrode";"Teich";"unmatched";"";"";"";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"9-390-18-feuerloschteich-in-dittichenrode";"9-390-18";"Feuerlöschteich in Dittichenrode";"Teich";"review";"51.4689026";"11.1009878";"0.831";"";"";"";"";"0";"";"";"OSM-Kandidat vorhanden, aber im amtlichen Prüfbereich kein passendes HY-P-Objekt gefunden."
"9-390-19-dorfteich-rotha";"9-390-19";"Dorfteich Rotha";"Teich";"review";"51.5409166";"11.1474381";"0.937";"172.7";"";"StandingWater_DESTGEOT00001jjj";"StandingWater";"2";"0";"128.4";"Amtliches Wasserobjekt vorhanden, Abstand/Name aber nicht eindeutig genug."
"9-390-20-kunstteich-bei-wettelrode";"9-390-20";"Kunstteich bei Wettelrode";"Teich";"review";"51.5142656";"11.2755607";"0.824";"";"";"";"";"0";"";"";"OSM-Kandidat vorhanden, aber im amtlichen Prüfbereich kein passendes HY-P-Objekt gefunden."
"9-390-21-zweier-und-dreierteich-am-rosarium";"9-390-21";"Zweier- und Dreierteich am Rosarium";"Teich";"review";"51.474971";"11.3099336";"0.837";"98.3";"Zweier Teich";"StandingWater_DESTGEOT00001xvY";"StandingWater";"2";"0.2";"20.9";"Amtliches Wasserobjekt vorhanden, Abstand/Name aber nicht eindeutig genug."
"9-390-22-helme-ab-200m-unterhalb-straen";"9-390-22";"Helme ab 200m unterhalb Straßen-";"See";"unmatched";"";"";"";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"9-390-23-3-tonlocher-bei-morungen";"9-390-23";"3 Tonlöcher bei Morungen –";"See";"review";"51.5082876";"11.2316396";"0.788";"19.6";"";"StandingWater_DESTGEOT00001fJ4";"StandingWater";"2";"0";"45.6";"Amtliche HY-P-Geometrie liegt nahe am OSM-Kandidaten, aber nicht eindeutig genug für automatische Freigabe."
"9-390-24-alte-kiesgrube-berga";"9-390-24";"Alte Kiesgrube Berga";"Kiesgrube";"review";"51.4572795";"11.0018156";"0.87";"";"";"";"";"0";"";"";"OSM-Kandidat vorhanden, aber im amtlichen Prüfbereich kein passendes HY-P-Objekt gefunden."
