"id";"lavNumber";"name";"district";"status";"candidateSource";"candidateLatitude";"candidateLongitude";"confidence";"note"
"10-370-13-vorderer-schacht-bei-dollnitz";"10-370-13";"Vorderer Schacht bei Döllnitz";"Saalekreis";"review";"two-source-v6.2-review";"51.4061681";"12.0224734";"0.864";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"10-370-14-pappelgrund-bei-teutschenthal";"10-370-14";"Pappelgrund bei Teutschenthal";"Saalekreis";"review";"two-source-v6.2-review";"51.4496079";"11.8085724";"0.842";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"10-370-16-erlengrund-bei-teutschenthal";"10-370-16";"Erlengrund bei Teutschenthal";"Saalekreis";"review";"two-source-v6.2-review";"51.4496079";"11.8085724";"0.842";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"10-370-18-gewasser-an-der-seilbahn-i";"10-370-18";"Gewässer an der Seilbahn I";"Saalekreis";"review";"two-source-v6.2-review";"51.5473413";"11.906682";"0.879";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"10-370-20-saalealtarm-dobis-nsg-beachten";"10-370-20";"Saalealtarm Dobis – NSG beachten-";"Saalekreis";"unmapped";"";"";"";"0";"Noch keine belastbare Kartenposition vorhanden."
"10-370-21-salza-von-straenbrucke-wansleben";"10-370-21";"Salza von Straßenbrücke Wansleben/";"Saalekreis";"review";"two-source-v6.2-review";"51.4611455";"11.7486181";"0";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"10-370-22-kiestagebau-bei-plotz";"10-370-22";"Kiestagebau bei Plötz";"Saalekreis";"review";"two-source-v6.2-review";"51.6381853";"11.9463541";"0";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"10-370-23-2-dorfteiche-in-niemberg";"10-370-23";"2 Dorfteiche in Niemberg";"Saalekreis";"review";"two-source-v6.2-review";"51.5578506";"12.1031993";"0.877";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"10-370-25-tonloch-morl";"10-370-25";"Tonloch Morl";"Saalekreis";"review";"two-source-v6.2-review";"51.5473413";"11.906682";"0.879";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"10-370-26-2-teiche-im-ot-hohen";"10-370-26";"2 Teiche im OT Hohen";"Saalekreis";"review";"two-source-v6.2-review";"51.5668219";"12.0665287";"0";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"10-370-27-saalealtarm-stollen-wettin";"10-370-27";"Saalealtarm Stollen Wettin";"Saalekreis";"review";"two-source-v6.2-review";"51.58758";"11.8019834";"0";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"10-370-29-westenteiche-brachstedt";"10-370-29";"Westenteiche Brachstedt";"Saalekreis";"review";"two-source-v6.2-review";"51.5718493";"12.0502355";"0";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"10-370-30-dorfteich-nauendorf";"10-370-30";"Dorfteich Nauendorf";"Saalekreis";"review";"two-source-v6.2-review";"51.6010931";"11.8833125";"0";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
