"id";"lavNumber";"name";"type";"result";"tier";"officialFeatureId";"officialDistanceM";"officialCandidateCount";"distanceGapM";"featureUseCount";"reason"
"3-200-30-wiemeckenbruch-bei-belsdorf";"3-200-30";"Wiemeckenbruch bei Belsdorf";"See";"review";"v72-standing-review";"StandingWater_DESTGEOT00003lge";"874.6";"1";"9999";"1";"Konfliktfrei, aber Distanz/Kandidatenzahl/Abstand reichen noch nicht für automatische Freigabe."
"3-200-37-schafbade-bei-erxleben";"3-200-37";"Schafbade bei Erxleben";"See";"review";"v72-standing-review";"StandingWater_DESTGEOT00001v7F";"186.1";"1";"9999";"1";"Konfliktfrei, aber Distanz/Kandidatenzahl/Abstand reichen noch nicht für automatische Freigabe."
"3-200-40-silbersee-bei-calvorde";"3-200-40";"Silbersee bei Calvörde";"See";"review";"v72-standing-review";"StandingWater_DESTGEOT00003wl8";"697.5";"1";"9999";"1";"Konfliktfrei, aber Distanz/Kandidatenzahl/Abstand reichen noch nicht für automatische Freigabe."
"3-200-45-beber-von-einmundung-der-rie";"3-200-45";"Beber von Einmündung der Rie";"See";"review";"v72-no-feature";"";"";"0";"";"0";"Kein amtliches Feature bzw. keine belastbare Distanz; bleibt Review."
"3-200-46-wanneweh-von-einmundung-des";"3-200-46";"Wanneweh von Einmündung des";"See";"matched";"v72-standing-gap";"StandingWater_DESTGEOT00001dYa";"42.2";"1";"9999";"1";"Konfliktfreies stehendes Gewässer: höchstens 50 m entfernt und mindestens 100 m Vorsprung vor dem nächsten amtlichen Kandidaten."
"3-200-47-markgrafenteich-bei-bebertal";"3-200-47";"Markgrafenteich bei Bebertal";"Teich";"review";"v72-conflict";"StandingWater_DESTGEOT00001LaJ";"426.6";"2";"46.8";"4";"Amtliches Feature wird von 4 LAV-Einträgen beansprucht; bleibt Review."
"3-200-48-papenteich-bei-emden";"3-200-48";"Papenteich bei Emden";"Teich";"review";"v72-no-feature";"";"";"0";"";"0";"Kein amtliches Feature bzw. keine belastbare Distanz; bleibt Review."
"3-200-52-regenruckhaltebecken-in-hermsdorf";"3-200-52";"Regenrückhaltebecken in Hermsdorf";"See";"review";"v72-standing-review";"StandingWater_DESTGEOT000022NJ";"556.9";"1";"9999";"1";"Konfliktfrei, aber Distanz/Kandidatenzahl/Abstand reichen noch nicht für automatische Freigabe."
"4-130-34-flickschuhteich-burg";"4-130-34";"Flickschuhteich Burg";"Teich";"review";"v72-standing-review";"StandingWater_DESTGEOT000033mN";"295.1";"1";"9999";"1";"Konfliktfrei, aber Distanz/Kandidatenzahl/Abstand reichen noch nicht für automatische Freigabe."
"4-170-06-kiesgrube-brettiner-chaussee-ein";"4-170-06";"Kiesgrube Brettiner Chaussee Ein-";"Kiesgrube";"review";"v72-standing-review";"StandingWater_DESTGEOT00002lN7";"593.9";"1";"9999";"1";"Konfliktfrei, aber Distanz/Kandidatenzahl/Abstand reichen noch nicht für automatische Freigabe."
"4-170-13-fiener-hauptvorfluter-vom-wehr";"4-170-13";"Fiener Hauptvorfluter vom Wehr";"See";"review";"v72-standing-review";"StandingWater_DESTGEOT0000gx0g";"191.2";"1";"9999";"1";"Konfliktfrei, aber Distanz/Kandidatenzahl/Abstand reichen noch nicht für automatische Freigabe."
"4-170-15-schlagenthiner-stremme-vom-rodorfer-a-b-bl-h-pl-s-7-00-altkanal-bis-zur-hauptstremme";"4-170-15";"Schlagenthiner Stremme vom Roßdorfer A, B, Bl, H, Pl, S 7,00 Altkanal bis zur Hauptstremme";"Fließgewässer";"review";"v72-flow";"Watercourse_DESTGEOT00006aD9_lin";"6";"7";"21.8";"1";"Fließgewässer werden in v7.2 nicht automatisch hochgestuft."
"4-170-16-elbe-havel-kanal-von-km-360-bis-364-5-a-b-bl-h-k-71-92-brucke-b1-ortsausgang-genthin-und";"4-170-16";"Elbe-Havel-Kanal von km 360 bis 364, 5 A, B, Bl, H, K, 71,92 (Brücke B1 Ortsausgang Genthin) und";"Fließgewässer";"review";"v72-flow";"Watercourse_DESTGEOT0000604e_lin";"0.1";"10";"53.3";"1";"Fließgewässer werden in v7.2 nicht automatisch hochgestuft."
"4-170-17-2-teiche-im-parchener-park";"4-170-17";"2 Teiche im Parchener Park";"Teich";"review";"v72-standing-review";"StandingWater_DESTGEOT000068ts";"229.1";"1";"9999";"1";"Konfliktfrei, aber Distanz/Kandidatenzahl/Abstand reichen noch nicht für automatische Freigabe."
"4-171-04-kiesgrube-an-der-mts-in-parey";"4-171-04";"Kiesgrube an der MTS in Parey";"Kiesgrube";"review";"v72-no-feature";"";"";"0";"";"0";"Kein amtliches Feature bzw. keine belastbare Distanz; bleibt Review."
"4-171-14-stromelbe-von-km-372-4";"4-171-14";"Stromelbe von km 372,4";"Fließgewässer";"review";"v72-flow";"Watercourse_DESTGEOT000014RI_lin";"103";"5";"136.4";"1";"Fließgewässer werden in v7.2 nicht automatisch hochgestuft."
"4-171-16-zerbener-altarm-am";"4-171-16";"Zerbener Altarm am";"See";"review";"v72-standing-review";"StandingWater_DESTGEOT00005VgK";"202.7";"1";"9999";"1";"Konfliktfrei, aber Distanz/Kandidatenzahl/Abstand reichen noch nicht für automatische Freigabe."
"4-171-18-waldmuhlenlanke-bei-parey";"4-171-18";"Waldmühlenlanke bei Parey";"See";"review";"v72-no-feature";"";"";"0";"";"0";"Kein amtliches Feature bzw. keine belastbare Distanz; bleibt Review."
"4-171-19-pappelloch-bei-parey";"4-171-19";"Pappelloch bei Parey";"See";"review";"v72-no-feature";"";"";"0";"";"0";"Kein amtliches Feature bzw. keine belastbare Distanz; bleibt Review."
"4-171-20-wolfsloch-1-und-2-bei-parey";"4-171-20";"Wolfsloch 1 und 2 bei Parey";"See";"review";"v72-no-feature";"";"";"0";"";"0";"Kein amtliches Feature bzw. keine belastbare Distanz; bleibt Review."
"4-171-21-erdegraben-bei-parey";"4-171-21";"Erdegraben bei Parey";"Fließgewässer";"review";"v72-flow";"Watercourse_DESTGEOT00004fuN_pol";"418.1";"1";"9999";"1";"Fließgewässer werden in v7.2 nicht automatisch hochgestuft."
"4-171-22-hemslake-bei-parey";"4-171-22";"Hemslake bei Parey";"See";"review";"v72-no-feature";"";"";"0";"";"0";"Kein amtliches Feature bzw. keine belastbare Distanz; bleibt Review."
