"id";"lavNumber";"name";"type";"result";"anchor";"anchorRule";"distanceM";"officialName";"candidateCount";"nameScore";"gapM";"reason"
"8-183-01-badeteich-vockerode";"8-183-01";"Badeteich Vockerode";"Teich";"review";"Vockerode";"suffix1";"350.8";"";"6";"0.000";"10.9";"v11-Ortsanker 'Vockerode' (suffix1) liefert amtlichen Kandidaten, aber noch keine sichere Freigabe."
"8-183-02-elbe-von-km-244-5-km-248-3-linksseitig-a-bl-h-pl-z-w-q-52-00";"8-183-02";"Elbe von km 244, 5 - km 248, 3 linksseitig A, Bl, H, Pl, Z, W, Q 52,00";"Fließgewässer";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"8-183-03-rehsener-see";"8-183-03";"Rehsener See";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"8-183-13-kapengraben-von-ehem-b107-bis-zur";"8-183-13";"Kapengraben von ehem. B107 bis zur";"Fließgewässer";"review";"ehem. B107";"von";"50.5";"";"18";"0.000";"100.9";"v11-Ortsanker 'ehem. B107' (von) liefert amtlichen Kandidaten, aber noch keine sichere Freigabe."
"8-183-14-fliegraben-von-straenbrucke";"8-183-14";"Fließgraben von Straßenbrücke";"Fließgewässer";"review";"von";"suffix2";"315.0";"";"7";"0.000";"60.9";"v11-Ortsanker 'von' (suffix2) liefert amtlichen Kandidaten, aber noch keine sichere Freigabe."
"8-184-03-bergwitzsee";"8-184-03";"Bergwitzsee";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"8-250-08-schwarze-elster-von-lg-bis-zur-ein";"8-250-08";"Schwarze Elster von LG bis zur Ein-";"See";"review";"Ein";"suffix1";"467.1";"";"2";"0.000";"356.3";"v11-Ortsanker 'Ein' (suffix1) liefert amtlichen Kandidaten, aber noch keine sichere Freigabe."
"8-250-09-schwarze-elster-von-straenbrucke";"8-250-09";"Schwarze Elster von Straßenbrücke";"See";"review";"von";"suffix2";"750.7";"";"1";"0.000";"9999.0";"v11-Ortsanker 'von' (suffix2) liefert amtlichen Kandidaten, aber noch keine sichere Freigabe."
"8-250-11-schopfwerk-gerbisbach";"8-250-11";"Schöpfwerk Gerbisbach";"See";"review";"Gerbisbach";"suffix1";"274.6";"";"1";"0.000";"9999.0";"v11-Ortsanker 'Gerbisbach' (suffix1) liefert amtlichen Kandidaten, aber noch keine sichere Freigabe."
"8-250-16-hufeisenteich-jessen-grabo";"8-250-16";"Hufeisenteich Jessen/Grabo";"Teich";"review";"Jessen/Grabo";"suffix1";"161.4";"Saulug";"12";"0.000";"98.3";"v11-Ortsanker 'Jessen/Grabo' (suffix1) liefert amtlichen Kandidaten, aber noch keine sichere Freigabe."
"8-251-03-elbe-km-168-2-km-182-0-rechtss";"8-251-03";"Elbe km 168, 2 - km 182, 0 rechtss.";"Fließgewässer";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"8-253-01-das-loch-annaburg";"8-253-01";"Das Loch Annaburg";"See";"review";"Loch Annaburg";"suffix2";"28.4";"";"4";"0.000";"384.6";"v11-Ortsanker 'Loch Annaburg' (suffix2) liefert amtlichen Kandidaten, aber noch keine sichere Freigabe."
"8-253-04-gewasser-meiner-lehrmann";"8-253-04";"Gewässer Meißner, Lehrmann";"See";"review";"Lehrmann";"suffix1";"878.8";"";"1";"0.000";"9999.0";"v11-Ortsanker 'Lehrmann' (suffix1) liefert amtlichen Kandidaten, aber noch keine sichere Freigabe."
"8-360-01-wasserloch-klieken";"8-360-01";"Wasserloch Klieken";"See";"review";"Klieken";"suffix1";"5.6";"";"5";"0.000";"85.3";"v11-Ortsanker 'Klieken' (suffix1) liefert amtlichen Kandidaten, aber noch keine sichere Freigabe."
"8-360-09-tongrube-mollensdorf";"8-360-09";"Tongrube Möllensdorf";"Kiesgrube";"review";"Möllensdorf";"suffix1";"137.4";"";"6";"0.000";"16.6";"v11-Ortsanker 'Möllensdorf' (suffix1) liefert amtlichen Kandidaten, aber noch keine sichere Freigabe."
"8-460-11-booser-ri-im-ot-boos-dabrun";"8-460-11";"Booser Riß im OT Boos/Dabrun";"See";"review";"Boos/Dabrun";"ortsteil";"195.6";"Booser Riß";"4";"0.379";"257.2";"v11-Ortsanker 'Boos/Dabrun' (ortsteil) liefert amtlichen Kandidaten, aber noch keine sichere Freigabe."
"8-460-12-3-waldteiche-bei-reinsdorf";"8-460-12";"3 Waldteiche bei Reinsdorf";"Teich";"review";"bei Reinsdorf";"suffix2";"182.7";"";"1";"0.000";"9999.0";"v11-Ortsanker 'bei Reinsdorf' (suffix2) liefert amtlichen Kandidaten, aber noch keine sichere Freigabe."
