"id";"lavNumber";"name";"district";"status";"confidence";"method";"latitude";"longitude";"locality";"candidateName";"distanceKm";"candidateAreaHa"
"7-120-44-schulteich-schwemsal";"7-120-44";"Schulteich Schwemsal";"Anhalt-Bitterfeld";"review";"0.911";"locality-water-review";"51.6243851";"12.5599593";"Schwemsal";"";"0.18";""
"7-120-45-mescheders-teich-schwemsal";"7-120-45";"Mescheders Teich Schwemsal";"Anhalt-Bitterfeld";"review";"0.911";"locality-water-review";"51.6243851";"12.5599593";"Schwemsal";"";"0.18";""
"7-120-46-schwemme-schwemsal";"7-120-46";"Schwemme Schwemsal";"Anhalt-Bitterfeld";"review";"0.911";"locality-water-review";"51.6243851";"12.5599593";"Schwemsal";"";"0.18";""
"7-120-47-pferdeteich-glebitzsch";"7-120-47";"Pferdeteich Glebitzsch";"Anhalt-Bitterfeld";"review";"0.922";"locality-water-review";"51.5954495";"12.1900864";"Glebitzsch";"";"0.11";""
"7-120-48-inselteich-glebitzsch";"7-120-48";"Inselteich Glebitzsch";"Anhalt-Bitterfeld";"review";"0.922";"locality-water-review";"51.5954495";"12.1900864";"Glebitzsch";"";"0.11";""
"7-120-50-dorfteich-beyersdorf";"7-120-50";"Dorfteich Beyersdorf";"Anhalt-Bitterfeld";"unmatched";"";"";"";"";"Beyersdorf";"";"";""
"7-120-51-dorfteich-kockern";"7-120-51";"Dorfteich Köckern";"Anhalt-Bitterfeld";"unmatched";"";"";"";"";"Köckern";"";"";""
"7-120-52-generalsteich-schrenz";"7-120-52";"Generalsteich Schrenz";"Anhalt-Bitterfeld";"unmatched";"";"";"";"";"Schrenz";"";"";""
"7-120-53-teich-am-park-schrenz";"7-120-53";"Teich am Park Schrenz";"Anhalt-Bitterfeld";"review";"0.77";"locality-water-review";"51.5953834";"12.0811945";"Schrenz";"";"1.03";""
"7-120-54-teich-am-etp-schrenz";"7-120-54";"Teich am ETP Schrenz";"Anhalt-Bitterfeld";"review";"0.77";"locality-water-review";"51.5953834";"12.0811945";"Schrenz";"";"1.03";""
"7-120-55-kragenteich-roitzsch";"7-120-55";"Kragenteich Roitzsch";"Anhalt-Bitterfeld";"review";"0.908";"locality-water-review";"51.5744151";"12.2681017";"Roitzsch";"";"0.19";""
"7-120-56-tonkiete-schortewitz";"7-120-56";"Tonkiete Schortewitz";"Anhalt-Bitterfeld";"review";"0.96";"locality-water-review";"51.6489287";"12.0292168";"Tonkiete Schortewitz";"Tonkiete Schortewitz";"0";""
"7-121-01-vergimeinnicht-postgrube";"7-121-01";"Vergißmeinnicht (Postgrube)";"Anhalt-Bitterfeld";"unmatched";"";"";"";"";"Zscherndorf";"";"";""
"7-121-02-deutsche-grube-zscherndorf";"7-121-02";"Deutsche Grube Zscherndorf";"Anhalt-Bitterfeld";"unmatched";"";"";"";"";"Zscherndorf";"";"";""
"7-122-01-kiesgrube-dessauer-str-loberitz";"7-122-01";"Kiesgrube Dessauer Str. Löberitz";"Anhalt-Bitterfeld";"unmatched";"";"";"";"";"Str. Löberitz";"";"";""
"7-140-02-niesauer-stillinge";"7-140-02";"Niesauer Stillinge";"Anhalt-Bitterfeld";"review";"0.957";"locality-water-review";"51.7618708";"12.2931412";"Niesauer Stillinge";"Niesauer Stillinge";"0.03";""
"7-271-02-zuckerteich-bei-osternienburg";"7-271-02";"Zuckerteich bei Osternienburg";"Anhalt-Bitterfeld";"unmatched";"";"";"";"";"Osternienburg";"";"";""
"7-271-03-elsdorfer-sandkiete";"7-271-03";"Elsdorfer Sandkiete";"Anhalt-Bitterfeld";"review";"0.954";"locality-water-review";"51.7836693";"11.9625626";"Elsdorfer Sandkiete";"Elsdorfer Sandkiete";"0.07";""
"7-271-04-strandbad-gutersee-in-kothen";"7-271-04";"Strandbad Gütersee in Köthen";"Anhalt-Bitterfeld";"review";"0.892";"locality-water-review";"51.7490341";"11.9764182";"Köthen";"";"0.29";""
"7-271-06-baggerkiethe-kothen";"7-271-06";"Baggerkiethe Köthen";"Anhalt-Bitterfeld";"review";"0.892";"locality-water-review";"51.7490341";"11.9764182";"Köthen";"";"0.29";""
"7-272-01-magdalenenteich-in-aken";"7-272-01";"Magdalenenteich in Aken";"Anhalt-Bitterfeld";"unmatched";"";"";"";"";"Aken";"";"";""
"7-272-02-nachthainichte-bei-aken";"7-272-02";"Nachthainichte bei Aken";"Anhalt-Bitterfeld";"review";"0.817";"locality-water-review";"51.8543298";"12.0582917";"Aken";"";"0.75";""
"7-272-03-groe-kabel-langes-loch-bei-aken";"7-272-03";"Große Kabel (Langes Loch) bei Aken";"Anhalt-Bitterfeld";"review";"0.817";"locality-water-review";"51.8543298";"12.0582917";"Aken";"";"0.75";""
"7-272-04-kleine-kabel-bei-aken";"7-272-04";"Kleine Kabel bei Aken";"Anhalt-Bitterfeld";"review";"0.817";"locality-water-review";"51.8543298";"12.0582917";"Aken";"";"0.75";""
"7-272-05-taube-von-700m-unterhalb-einmundung";"7-272-05";"Taube von 700m unterhalb Einmündung";"Anhalt-Bitterfeld";"unmatched";"";"";"";"";"";"";"";""
"7-272-06-burgersee-in-aken";"7-272-06";"Bürgersee in Aken";"Anhalt-Bitterfeld";"review";"0.822";"locality-water-review";"51.8561627";"12.0702549";"Aken";"Bürgersee";"1.55";""
"7-273-01-baufeld-worbzig-1-groe-kiesgrube";"7-273-01";"Baufeld Wörbzig 1 - Große Kiesgrube";"Anhalt-Bitterfeld";"unmatched";"";"";"";"";"";"";"";""
