V28 – 1000 m / complete-name >=60% matching
Base: visually confirmed V22.

Rule:
1. Angelatlas/LAV reference point.
2. Search named natural=water OSM Ways within max. 1000 m.
3. Compare COMPLETE normalized LAV and OSM names.
4. Do NOT remove See/Teich/Kiesgrube/etc.
5. Similarity must be >=60%.
6. Exactly ONE qualifying OSM Way is required.
7. Marker is taken from that exact OSM Way geometry in the local PBF.
8. Multiple >=60% candidates are deliberately NOT added.

Unique matches written: 186
Ambiguous cases not written: 14

norderney in schwarz -> Norderney | way 149647876 | 309 m | similarity 62.1% | marker 51.8821804,11.7991872
hoher teich bei glinde -> Holer Teich | way 168197396 | 493 m | similarity 60.6% | marker 51.9954575,11.8602644
pfeiffersee plötzky -> Pfeiffers See | way 172456612 | 196 m | similarity 68.8% | marker 52.0614936,11.7985934
salinekanal schönebeck -> Salinenkanal | way 169429326 | 268 m | similarity 64.7% | marker 52.0190605,11.7484805
albertinensee (ostufer) -> Albertinesee | way 43074251 | 14 m | similarity 72.7% | marker 51.8995243,11.6612430
großer schachtsee bei wolmirsleben -> Großer Schachtsee | way 19795526 | 311 m | similarity 65.3% | marker 51.9543535,11.4665906
löderburger see -> Löderburger See | way 176304631 | 916 m | similarity 100.0% | marker 51.8800020,11.5309928
alte mulde roitzschjora -> Alte Mulde Roitzschjora | way 53156729 | 836 m | similarity 100.0% | marker 51.5977444,12.4981606
ehemaliges schwimmbad raguhn -> Altes Bad Raguhn | way 54188678 | 547 m | similarity 68.2% | marker 51.7144800,12.2733110
bürgermeisterteich jeßnitz -> Bürgermeisterteich | way 403306894 | 21 m | similarity 83.7% | marker 51.6898124,12.3004837
dorfteich thalheim -> Dorfteich | way 232676349 | 305 m | similarity 66.7% | marker 51.6526500,12.2314095
generalsteich schrenz -> Generalsteich | way 53763995 | 469 m | similarity 76.5% | marker 51.5862731,12.0742447
kragenteich roitzsch -> Kragenteich Roitzsch | way 41730861 | 427 m | similarity 100.0% | marker 51.5762853,12.2603801
tonkiete schortewitz -> Tonkiete Schortewitz | way 112044168 | 132 m | similarity 100.0% | marker 51.6491735,12.0304045
deutsche grube zscherndorf -> Deutsche Grube | way 38143216 | 540 m | similarity 70.0% | marker 51.6127533,12.2797288
möster altes wasser -> Möster Altes Wasser | way 25692643 | 340 m | similarity 100.0% | marker 51.7691284,12.2931877
niesauer stillinge -> Niesauer Stillinge | way 25697688 | 320 m | similarity 100.0% | marker 51.7634172,12.2958360
hausteich in reupzig -> Hausteich | way 172064954 | 273 m | similarity 62.1% | marker 51.7375146,12.0689521
elsdorfer sandkiete -> Elsdorfer Sandkiete | way 26986369 | 432 m | similarity 100.0% | marker 51.7833192,11.9644182
baggerkiethe köthen -> Baggerkiete | way 26723584 | 317 m | similarity 73.3% | marker 51.7673866,11.9799986
magdalenenteich in aken -> Magdalenenteich | way 88365219 | 612 m | similarity 78.9% | marker 51.8563989,12.0365004
bürgersee in aken -> Bürgersee | way 265841531 | 411 m | similarity 69.2% | marker 51.8570568,12.0739901
feldschlößchen bei piethen -> Feldschlösschen | way 91762665 | 681 m | similarity 65.0% | marker 51.6757289,11.9427501
schachtteich bei piethen -> Schachtteich | way 91762572 | 544 m | similarity 66.7% | marker 51.6799667,11.9455074
pelzteich görzig -> Pelzteich | way 175757527 | 205 m | similarity 72.0% | marker 51.6609502,11.9978682
dorfteich gnetsch -> Dorfteich | way 150170117 | 179 m | similarity 69.2% | marker 51.6801936,12.0731762
gutsteich görzig -> Gutsteich | way 175757525 | 298 m | similarity 72.0% | marker 51.6623241,11.9920247
kleine sandfürchen bei osternienburg -> Kleine Sandfürchen | way 93629837 | 897 m | similarity 66.7% | marker 51.7982308,12.0433367
kleiner rußteich osternienburg -> Kleiner Rustteich | way 153220317 | 602 m | similarity 65.2% | marker 51.7965253,12.0533282
mühlenteich wulfen -> Mühlenteich | way 27230905 | 228 m | similarity 75.9% | marker 51.8222923,11.9299340
kapellenteich wulfen -> Kapellenteich | way 27230904 | 108 m | similarity 78.8% | marker 51.8197209,11.9390767
holzplatzteich osternienburg -> Holzplatzteich | way 93629845 | 332 m | similarity 66.7% | marker 51.8066345,12.0325899
maxdorfer teich -> Dorfteich | way 123460423 | 455 m | similarity 75.0% | marker 51.7966265,11.9340915
roter teich osternienburg -> Roter Teich | way 915044144 | 591 m | similarity 61.1% | marker 51.8055748,12.0358212
großer rußteich osternienburg -> Großer Rustteich | way 153220319 | 401 m | similarity 61.9% | marker 51.7981591,12.0526701
