lavNumber;catalogName;atlasName;latitude;longitude;featureId;geometryType;status
10-370-17;Saale vom Trompeterfelsen;Saale vom Trompeterfelsen zwischen Halle und Brachwitz bis zur Kreisgrenze Salzlandkreis;51.567619;11.8309524;v_gewaesser.fid-36945e2d_19febabadac_69b3;MultiPolygon;LOCKED
10-370-20;Saalealtarm Dobis – NSG beachten-;Saalealtarm Dobis;51.62;11.75;v_gewaesser.fid-36945e2d_19febabadac_6bfb;MultiPolygon;AUTO_CANDIDATE
10-370-27;Saalealtarm Stollen Wettin;Saalealtarm Stollen Wettin;51.6;11.77;v_gewaesser.fid-36945e2d_19febabadac_6bff;MultiPolygon;AUTO_CANDIDATE
10-370-45;Teich am Rodelberg;Teich am Rodelberg;51.5;12.17;v_gewaesser.fid-36945e2d_19febabadac_6c0b;MultiPolygon;AUTO_CANDIDATE
11-300-06;Saale von Landesgrenze Thüringen;Saale von Landesgrenze Thüringen bis Eisenbahnbrücke bei Eulau;51.1583333;11.8116667;v_gewaesser.fid-36945e2d_19febabadac_69b0;MultiPolygon;LOCKED
11-300-07;Kl. Saale v. Bad Kösen b. Almrich;Kl. Saale v. Bad Kösen b. Almrich;51.14;11.75;v_gewaesser.fid-36945e2d_19febabadac_6e30;MultiPolygon;AUTO_CANDIDATE
11-310-01;Unstrutaltarm bei Memleben/;Unstrutaltarm bei MemlebenWendelstein;51.28;11.46;v_gewaesser.fid-36945e2d_19febabadac_6c16;MultiPolygon;AUTO_CANDIDATE
11-310-03;Restarm der Unstrut unter der Katzel;Restarm der Unstrut unter der Katzel bei Reinsdorf;51.29;11.61;v_gewaesser.fid-36945e2d_19febabadac_6ced;MultiPolygon;AUTO_CANDIDATE
11-310-04;Unstrutflutkanal von Landesgrenze;Unstrutflutkanal von Landesgrenze bis Mündung in die Unstrut;51.27;11.46;v_gewaesser.fid-36945e2d_19febabadac_69b6;MultiPolygon;AUTO_CANDIDATE
11-310-05;Unstrut von Landesgrenze Thüringen;Unstrut von Landesgrenze bis zur Mündung in die Saale;51.2344444;11.6577778;v_gewaesser.fid-36945e2d_19febabadac_6e31;MultiPolygon;LOCKED
