lavNumber;catalogName;district;atlasName;latitude;longitude;featureId;geometryType;officialMatch
11-443-02;Alte Saale Tebnitz – NSG beachten!;Burgenlandkreis;Saale von Kleinkorbetha bis Einlauf Schleusengraben Bad Dürrenberg linksseitig;51.27;12.05;v_gewaesser.fid-36945e2d_19febabadac_6d82;MultiPolygon;YES
11-480-14;Elstermühlgraben Elsteraue;Burgenlandkreis;Elstermühlgraben Elsteraue;51.08;12.18;v_gewaesser.fid-36945e2d_19febabadac_69bb;MultiPolygon;YES
11-480-15;Elstermühlgraben Zeitz;Burgenlandkreis;Elstermühlgraben Zeitz;51.05;12.13;v_gewaesser.fid-36945e2d_19febabadac_6e4d;MultiPolygon;YES
11-480-17;Elstermühlgraben;Burgenlandkreis;Elstermühlgraben Rossner Wehr/Obermühle;51.04;12.11;v_gewaesser.fid-36945e2d_19febabadac_6d83;MultiPolygon;YES
11-482-02;Mühlgraben Wetterzeube;Burgenlandkreis;Mühlgraben Wetterzeube;51.0;12.02;v_gewaesser.fid-36945e2d_19febabadac_69b7;MultiPolygon;YES
11-482-03;Mühlgraben Göbitz-Ostrau;Burgenlandkreis;Mühlgraben Göbitz-Ostrau;51.09;12.19;v_gewaesser.fid-36945e2d_19febabadac_69b8;MultiPolygon;YES
11-482-05;Floßgraben von LG Thüringen bis;Burgenlandkreis;Floßgraben von LG Thüringen bis Abschlagbauwerk Uthmig;51.01;12.01;v_gewaesser.fid-36945e2d_19febabadac_6d70;MultiPolygon;YES
12-140-07;Mulde von ca. 150 m unterhalb Abzweig A, B, Bl, D, H, Pl, 20,00 Jonitzer Mulde bis Tiergartenbrücke und Q, Z von unterhalb Brücke B185 bis 250m oberhalb Einmündung Jonitzer Mulde und von Einmündung Lorkgraben bis Tannenhägerbrücke sowie Jonitzer Mulde von Abzweig aus der Mulde bis oberhalb Brücke Jonitzer Mühle;Dessau-Roßlau;Mulde;51.83;12.26;v_gewaesser.fid-36945e2d_19febabadac_6de4;MultiPolygon;YES
13-280-02;Mittellandkanal (Toter Arm);Magdeburg;Mittellandkanal (Toter Arm) von km 318,4 bis km 320,10;52.23;11.66;v_gewaesser.fid-36945e2d_19febabadac_6e4a;MultiPolygon;YES
13-280-03;Rothenseer Verbindungskanal;Magdeburg;Rothenseer Verbindungskanal von km 1,35 bis km 3,93;52.2133333;11.6833333;v_gewaesser.fid-36945e2d_19febabadac_6e38;MultiPolygon;YES
13-280-18;Alte Elbe Kreuzhorst;Magdeburg;Alte Elbe Kreuzhorst;52.0866667;11.6833333;v_gewaesser.fid-36945e2d_19febabadac_6d6d;MultiPolygon;YES
13-280-23;Elbe und Alte Elbe;Magdeburg;Elbe und Alte Elbe von km 320-334;52.1270175;11.6638596;v_gewaesser.fid-36945e2d_19febabadac_69b9;MultiPolygon;YES
13-280-24;Zollelbe vom Elb-km 325,60 – 327,40;Magdeburg;Zollelbe vom Elb-km 325,60 - 327,40;52.1233333;11.6466667;v_gewaesser.fid-36945e2d_19febabadac_6e39;MultiPolygon;YES
13-280-28;Schleusenkanal ehem. Doppelschleuse;Magdeburg;Schleusenkanal ehem. Doppelschleuse mit Schutzhafen von km 329,9 bis km 332,8;52.17;11.68;v_gewaesser.fid-36945e2d_19febabadac_6d4c;MultiPolygon;YES
13-400-05;Gelbes Loch bei Randau;Magdeburg;Gelbes Loch bei Randau;52.05;11.73;v_gewaesser.fid-36945e2d_19febabadac_6c9d;MultiPolygon;YES
13-400-06;Alte Elbe bei Randau/Calenberge;Magdeburg;Alte Elbe bei Randau/Calenberge;52.07;11.73;v_gewaesser.fid-36945e2d_19febabadac_6d44;MultiPolygon;YES
14-210-01;Saalealtarm Hohenweiden;Halle;Saalealtarm Hohenweiden;51.415;11.945;v_gewaesser.fid-36945e2d_19febabadac_6de5;MultiPolygon;YES
14-210-12;Untere Aue (Neuer Kanal);Halle;Untere Aue (Neuer Kanal);51.47;11.94;v_gewaesser.fid-36945e2d_19febabadac_6c4b;MultiPolygon;YES
14-210-16;Saale von Straßenbrücke B 91;Halle;Saale von Straßenbrücke B 91 bis zum Trompeterfelsen zwischen Halle und Brachwitz;51.4764103;11.9451282;v_gewaesser.fid-36945e2d_19febabadac_6d3b;MultiPolygon;YES
14-210-17;Umgehungskanal Halle (Alter Kanal);Halle;Umgehungskanal Halle (Alter Kanal);51.4533333;11.9266667;v_gewaesser.fid-36945e2d_19febabadac_6d74;MultiPolygon;YES
